Wavelength;Channel 1
1528.2599999999834;-34.5
1528.2799999999834;-34.69
1528.2999999999834;-34.92
1528.3199999999833;-35.19
1528.3399999999833;-35.4
1528.3599999999833;-35.63
1528.3799999999833;-35.86
1528.3999999999833;-36.16
1528.4199999999832;-36.58
1528.4399999999832;-37.05
1528.4599999999832;-37.55
1528.4799999999832;-38.07
1528.4999999999832;-38.66
1528.5199999999832;-39.38
1528.5399999999831;-40.11
1528.5599999999831;-40.93
1528.579999999983;-41.88
1528.599999999983;-43.07
1528.619999999983;-44.13
1528.639999999983;-45.71
1528.659999999983;-47.67
1528.679999999983;-46.81
1528.699999999983;-46.33
1528.719999999983;-46.1
1528.739999999983;-45.52
1528.759999999983;-44.08
1528.779999999983;-42.9
1528.799999999983;-41.96
1528.8199999999829;-41.03
1528.8399999999829;-40.22
1528.8599999999828;-39.48
1528.8799999999828;-38.79
1528.8999999999828;-38.15
1528.9199999999828;-37.56
1528.9399999999828;-37.06
1528.9599999999828;-36.57
1528.9799999999827;-36.12
1528.9999999999827;-35.82
1529.0199999999827;-35.51
1529.0399999999827;-35.21
1529.0599999999827;-34.98
1529.0799999999826;-34.76
1529.0999999999826;-34.54
1529.1199999999826;-34.33
1529.1399999999826;-34.15
1529.1599999999826;-33.97
1529.1799999999826;-33.71
1529.1999999999825;-33.58
1529.2199999999825;-33.47
1529.2399999999825;-33.37
1529.2599999999825;-33.32
1529.2799999999825;-33.26
1529.2999999999824;-33.22
1529.3199999999824;-33.2
1529.3399999999824;-33.18
1529.3599999999824;-33.15
1529.3799999999824;-33.12
1529.3999999999824;-33.09
1529.4199999999823;-33.06
1529.4399999999823;-33.06
1529.4599999999823;-33.05
1529.4799999999823;-33.05
1529.4999999999823;-33.07
1529.5199999999822;-33.12
1529.5399999999822;-33.18
1529.5599999999822;-33.23
1529.5799999999822;-33.27
1529.5999999999822;-33.3
1529.6199999999822;-33.36
1529.6399999999821;-33.44
1529.6599999999821;-33.53
1529.679999999982;-33.65
1529.699999999982;-33.76
1529.719999999982;-33.89
1529.739999999982;-34.04
1529.759999999982;-34.17
1529.779999999982;-34.29
1529.799999999982;-34.48
1529.819999999982;-34.67
1529.839999999982;-34.85
1529.859999999982;-35.08
1529.879999999982;-35.34
1529.899999999982;-35.62
1529.9199999999819;-35.88
1529.9399999999819;-36.17
1529.9599999999818;-36.55
1529.9799999999818;-37.1
1529.9999999999818;-37.59
1530.0199999999818;-38.09
1530.0399999999818;-38.56
1530.0599999999818;-39.27
1530.0799999999817;-40.14
1530.0999999999817;-41.0
1530.1199999999817;-41.8
1530.1399999999817;-42.78
1530.1599999999817;-44.13
1530.1799999999816;-45.39
1530.1999999999816;-46.6
1530.2199999999816;-47.78
